#Calibration Information
5
5
140.000000 769.000000
200.250000 767.500000
260.500000 766.000000
320.750000 764.500000
381.000000 763.000000
137.000000 813.750000
198.437500 812.250000
259.875000 810.750000
321.312500 809.250000
382.750000 807.750000
134.000000 858.500000
196.625000 857.000000
259.250000 855.500000
321.875000 854.000000
384.500000 852.500000
131.000000 903.250000
194.812500 901.750000
258.625000 900.250000
322.437500 898.750000
386.250000 897.250000
128.000000 948.000000
193.000000 946.500000
258.000000 945.000000
323.000000 943.500000
388.000000 942.000000
